Designer,FilePageURL
Peter Behrens,https://commons.wikimedia.org/wiki/File:Thronsessel_für_Kaiser_Wilhelm_II_in_der_deutschen_Botschaft_in_Sankt_Petersburg.jpg
Peter Behrens,https://commons.wikimedia.org/wiki/File:Two_faces_kissing_with_entwined_art-nouveau_style_hair)_-_Peter_Behrens_LCCN2002721258.jpg
Peter Behrens,https://commons.wikimedia.org/wiki/File:Two_faces_kissing_with_entwined_art-nouveau_style_hair)_-_Peter_Behrens_LCCN2002721258.tif
Peter Behrens,https://commons.wikimedia.org/wiki/File:Wilhelm_Weimer_-_Bildnis_Peter_Behrens%2C_1901.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Walter_Gropius_Foto_1920.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Unterschrift_Walter_Gropius_Architekt_(1883–1969).png
Walter Gropius,https://commons.wikimedia.org/wiki/File:De-Walter_Gropius.ogg
Walter Gropius,https://commons.wikimedia.org/wiki/File:1955_01-Oct_HansGConrad_Portrait-WalterGropius_HfGUlm-Opening.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Alma_1918_gropius_manon.png
Walter Gropius,https://commons.wikimedia.org/wiki/File:Anonymous_photograph_of_Bauhaus_masters_on_the_roof_of_the_studio_building%2C_Bauhaus_Dessau.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Ascona-_Dokumentationsfotos_im_Museum%2C_Xanti_Schawinsky%2C_Walter_Gropius_-_LABW_-_Staatsarchiv_Freiburg_W_134_Nr._123466.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:BAUHAUS_schema_didattico.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Bauhaus-program.svg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Bauhausbücher_Anzeige_1925.jpg
Walter Gropius,https://commons.wikimedia.org/wiki/File:Der_Architekt_Walter_Gropius%2C_Begründer_des_Staatlichen_Bauhauses_Weimar%2C_um_1919.jpg
