Designer,Work,Status,Date
ive,iPod,Placeholder_Used,2026-02-12 14:20
ive,iPad,Placeholder_Used,2026-02-12 14:20
ive,Apple Watch,Placeholder_Used,2026-02-12 14:20
ive,iMac Pro,Placeholder_Used,2026-02-12 14:20
ive,Mac Pro,Placeholder_Used,2026-02-12 14:20
ive,AirPods,Placeholder_Used,2026-02-12 14:20
ive,Apple Park,Placeholder_Used,2026-02-12 14:20
ive,iOS 7,Placeholder_Used,2026-02-12 14:20
ive,Power Mac G4 Cube,Placeholder_Used,2026-02-12 14:20
behrens,AEG Turbine Factory,Placeholder_Used,2026-02-12 14:20
behrens,AEG Kettle,Placeholder_Used,2026-02-12 14:20
behrens,AEG Logo,Placeholder_Used,2026-02-12 14:20
behrens,Typography,Placeholder_Used,2026-02-12 14:20
behrens,Posters,Placeholder_Used,2026-02-12 14:20
behrens,AEG Fan,Placeholder_Used,2026-02-12 14:20
behrens,AEG Clock,Placeholder_Used,2026-02-12 14:20
behrens,Peter Behrens House,Placeholder_Used,2026-02-12 14:20
behrens,Hoechst Administration Building,Placeholder_Used,2026-02-12 14:20
gropius,Portrait,Placeholder_Used,2026-02-12 14:20
gropius,Harvard Graduate Center,Placeholder_Used,2026-02-12 14:20
gropius,Gropius House,Placeholder_Used,2026-02-12 14:20
gropius,Bauhaus Manifesto,Placeholder_Used,2026-02-12 14:20
gropius,Fagus Factory,Placeholder_Used,2026-02-12 14:20
gropius,Pan Am Building,Placeholder_Used,2026-02-12 14:20
gropius,Bauhaus Archive,Placeholder_Used,2026-02-12 14:20
gropius,MetLife Building,Placeholder_Used,2026-02-12 14:20
gropius,Chicago Tribune Tower Entry,Placeholder_Used,2026-02-12 14:20
gropius,Total Theater,Placeholder_Used,2026-02-12 14:20
breuer,Whitney Museum,Placeholder_Used,2026-02-12 14:20
breuer,UNESCO Building,Placeholder_Used,2026-02-12 14:20
breuer,Breuer House,Placeholder_Used,2026-02-12 14:20
breuer,Cesca Chair,Placeholder_Used,2026-02-12 14:20
breuer,Wassily Chair,Placeholder_Used,2026-02-12 14:20
breuer,Laccio Table,Placeholder_Used,2026-02-12 14:20
breuer,Isokon Long Chair,Placeholder_Used,2026-02-12 14:20
breuer,Short Chair,Placeholder_Used,2026-02-12 14:20
breuer,Murray Lincoln Campus Center,Placeholder_Used,2026-02-12 14:20
breuer,St John's Abbey Church,Placeholder_Used,2026-02-12 14:20
eames,LCW,Placeholder_Used,2026-02-12 14:20
eames,Lounge Chair,Placeholder_Used,2026-02-12 14:20
eames,Molded Plastic Chair,Placeholder_Used,2026-02-12 14:20
eames,Eames House,Placeholder_Used,2026-02-12 14:20
eames,Hang-It-All,Placeholder_Used,2026-02-12 14:20
eames,Aluminum Group,Placeholder_Used,2026-02-12 14:20
eames,Wire Chair,Placeholder_Used,2026-02-12 14:20
eames,Eames Elephant,Placeholder_Used,2026-02-12 14:20
eames,La Chaise,Placeholder_Used,2026-02-12 14:20
eames,Powers of Ten,Placeholder_Used,2026-02-12 14:20
loewy,Studebaker Starliner,Placeholder_Used,2026-02-12 14:20
loewy,Coldspot Refrigerator,Placeholder_Used,2026-02-12 14:20
loewy,Greyhound Bus,Placeholder_Used,2026-02-12 14:20
loewy,Air Force One Livery,Placeholder_Used,2026-02-12 14:20
loewy,Coca-Cola Bottle,Placeholder_Used,2026-02-12 14:20
loewy,Shell Logo,Placeholder_Used,2026-02-12 14:20
loewy,Exxon Logo,Placeholder_Used,2026-02-12 14:20
loewy,Pennsylvania Railroad S1,Placeholder_Used,2026-02-12 14:20
loewy,Lucky Strike Package,Placeholder_Used,2026-02-12 14:20
loewy,Skylab,Placeholder_Used,2026-02-12 14:20
dreyfuss,Portrait,Placeholder_Used,2026-02-12 14:20
dreyfuss,20th Century Limited Train,Placeholder_Used,2026-02-12 14:20
dreyfuss,Princess Telephone,Placeholder_Used,2026-02-12 14:20
dreyfuss,Honeywell Thermostat,Placeholder_Used,2026-02-12 14:20
dreyfuss,John Deere Tractor,Placeholder_Used,2026-02-12 14:20
dreyfuss,Big Ben Clock,Placeholder_Used,2026-02-12 14:20
dreyfuss,Trimline Phone,Placeholder_Used,2026-02-12 14:20
dreyfuss,Western Electric 302,Placeholder_Used,2026-02-12 14:20
dreyfuss,Polaroid SX-70,Placeholder_Used,2026-02-12 14:20
dreyfuss,Humanscale,Placeholder_Used,2026-02-12 14:20
jacobsen,Egg Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Swan Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Series 7 Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Ant Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,SAS Royal Hotel,Placeholder_Used,2026-02-12 14:20
jacobsen,AJ Lamp,Placeholder_Used,2026-02-12 14:20
jacobsen,Cylinda Line,Placeholder_Used,2026-02-12 14:20
jacobsen,Oxford Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Drop Chair,Placeholder_Used,2026-02-12 14:20
jacobsen,Grand Prix Chair,Placeholder_Used,2026-02-12 14:20
bill,Kitchen Clock,Placeholder_Used,2026-02-12 14:20
bill,Pavilion Sculpture,Placeholder_Used,2026-02-12 14:20
bill,Typography,Placeholder_Used,2026-02-12 14:20
bill,Ulm School,Placeholder_Used,2026-02-12 14:20
bill,Triangular Structure,Placeholder_Used,2026-02-12 14:20
bill,Endless Ribbon,Placeholder_Used,2026-02-12 14:20
bill,Stackable Chair,Placeholder_Used,2026-02-12 14:20
bill,Sun Lamp,Placeholder_Used,2026-02-12 14:20
