Rank,Name,CategoryName,Folder,Birth,Death,PeakYear,Movements,P_1830,P_1833,P_1836,P_1839,P_1842,P_1845,P_1848,P_1851,P_1854,P_1857,P_1860,P_1863,P_1866,P_1869,P_1872,P_1875,P_1878,P_1881,P_1884,P_1887,P_1890,P_1893,P_1896,P_1899,P_1902,P_1905,P_1908,P_1911,P_1914,P_1917,P_1920,P_1923,P_1926,P_1929,P_1932,P_1935,P_1938,P_1941,P_1944,P_1947,P_1950,P_1953,P_1956,P_1959,P_1962,P_1965,P_1968,P_1971,P_1974,P_1977,P_1980,P_1983,P_1986,P_1989,P_1992,P_1995,P_1998,P_2001,P_2004,P_2007,P_2010,P_2013,P_2016,P_2019,P_2022
16,Gio Ponti,Gio_Ponti,ponti,1891,1979,1957,Gio_Ponti:1891,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17,Achille Castiglioni,Achille_Castiglioni,castiglioni,1918,2002,1962,Achille_Castiglioni:1918,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18,Ettore Sottsass,Ettore_Sottsass,sottsass,1917,2007,1981,Ettore_Sottsass:1917,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19,Marcello Nizzoli,Marcello_Nizzoli,nizzoli,1887,1969,1950,Marcello_Nizzoli:1887,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
20,Mario Bellini,Mario_Bellini,bellini,1935,,1970,Mario_Bellini:1935,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
21,Giorgetto Giugiaro,Giorgetto_Giugiaro,giugiaro,1938,,1974,Giorgetto_Giugiaro:1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
22,Marcello Gandini,Marcello_Gandini,gandini,1938,2024,1966,Marcello_Gandini:1938,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
23,Battista Pininfarina,Battista_Pininfarina,pininfarina,1893,1966,1947,Battista_Pininfarina:1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
24,Harley Earl,Harley_Earl,earl,1893,1969,1938,Harley_Earl:1893,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
25,Jonathan Ive,Jonathan_Ive,ive,1967,,1998,Jonathan_Ive:1967,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
26,James Dyson,James_Dyson,dyson,1947,,1993,James_Dyson:1947,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
27,Philippe Starck,Philippe_Starck,starck,1949,,1990,Philippe_Starck:1949,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28,Marc Newson,Marc_Newson,newson,1963,,1986,Marc_Newson:1963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,Naoto Fukasawa,Naoto_Fukasawa,fukasawa,1956,,2000,Naoto_Fukasawa:1956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
30,Karim Rashid,Karim_Rashid,rashid,1960,,2001,Karim_Rashid:1960,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
