Designer,RelativePath,Filename,Year
castiglioni,images/castiglioni/castiglioni_e_pier_giacomo_castiglioni_per_zanotta_spa._sgabello_mezzadro_1954_57.jpg,castiglioni_e_pier_giacomo_castiglioni_per_zanotta_spa._sgabello_mezzadro_1954_57.jpg,1954
castiglioni,images/castiglioni/castiglioni_portrait.jpg,castiglioni_portrait.jpg,
castiglioni,images/castiglioni/castiglioni_rr126_radiogram.jpg,castiglioni_rr126_radiogram.jpg,
castiglioni,images/castiglioni/castiglioni_rr126_stereo.jpg,castiglioni_rr126_stereo.jpg,
castiglioni,images/castiglioni/castiglioni_sella_stool.jpg,castiglioni_sella_stool.jpg,
dresser,images/dresser/Christopher_dresser%2C_per_coalbrookdale_company_of_ironbridge%2C_guardaroba%2C_inghilterra_1870_ca.jpg,Christopher_dresser%2C_per_coalbrookdale_company_of_ironbridge%2C_guardaroba%2C_inghilterra_1870_ca.jpg,1870
dresser,images/dresser/Christopher_Dresser00.jpg,Christopher_Dresser00.jpg,
dresser,images/dresser/christopher_dresser_finger_bowl.webp,christopher_dresser_finger_bowl.webp,
dresser,images/dresser/christopher_dresser_oil_and_vinegar_cruet.webp,christopher_dresser_oil_and_vinegar_cruet.webp,
dresser,images/dresser/christopher_dresser_portrait.webp,christopher_dresser_portrait.webp,
dresser,images/dresser/christopher_dresser_sugar_bowl.webp,christopher_dresser_sugar_bowl.webp,
dresser,images/dresser/christopher_dresser_toast_rack.webp,christopher_dresser_toast_rack.webp,
dresser,images/dresser/christopher_dresser_watering_can.webp,christopher_dresser_watering_can.webp,
dresser,images/dresser/dresser_christopherdresser.jpg,dresser_christopherdresser.jpg,
dresser,images/dresser/dresser_sidewall_google_art_project.jpg,dresser_sidewall_google_art_project.jpg,
dresser,images/dresser/dresser_teapot.jpg,dresser_teapot.jpg,
dresser,images/dresser/dresser_toast.jpg,dresser_toast.jpg,
dresser,images/dresser/Dresservanda.jpg,Dresservanda.jpg,
dresser,images/dresser/Length_of_woven_wool_and_silk_MET_AR1378.jpg,Length_of_woven_wool_and_silk_MET_AR1378.jpg,
dresser,images/dresser/Piece_MET_DP17542_1995.252.jpg,Piece_MET_DP17542_1995.252.jpg,1995
dresser,images/dresser/Reptilian_Fabric.jpg,Reptilian_Fabric.jpg,
dresser,images/dresser/Side_chair_MET_DT3787.jpg,Side_chair_MET_DT3787.jpg,
dresser,images/dresser/wedgwood vase.jpg,wedgwood vase.jpg,
dreyfuss,images/dreyfuss/dreyfuss.jpg,dreyfuss.jpg,
dreyfuss,images/dreyfuss/dreyfuss_john_deere_tractor.jpg,dreyfuss_john_deere_tractor.jpg,
dreyfuss,images/dreyfuss/dreyfuss_portrait.jpg,dreyfuss_portrait.jpg,
dreyfuss,images/dreyfuss/dreyfuss_princess_telephone.jpg,dreyfuss_princess_telephone.jpg,
dreyfuss,images/dreyfuss/dreyfuss_symbol_sourcebook.jpg,dreyfuss_symbol_sourcebook.jpg,
dreyfuss,images/dreyfuss/dreyfuss_telephone_magazine_1922_14569849308_.jpg,dreyfuss_telephone_magazine_1922_14569849308_.jpg,1922
dreyfuss,images/dreyfuss/dreyfuss_telephone_magazine_1922_14756479025_.jpg,dreyfuss_telephone_magazine_1922_14756479025_.jpg,1922
dreyfuss,images/dreyfuss/dreyfuss_trust_building_280_park_avenue.jpg,dreyfuss_trust_building_280_park_avenue.jpg,
dreyfuss,images/dreyfuss/dreyfuss_western_electric_302.jpg,dreyfuss_western_electric_302.jpg,
dreyfuss,images/dreyfuss/henry_dreyfuss_big_ben_alarm_clock.webp,henry_dreyfuss_big_ben_alarm_clock.webp,
dreyfuss,images/dreyfuss/Hudson_locomotive_for_the_New_York_Central.jpg,Hudson_locomotive_for_the_New_York_Central.jpg,
dyson,images/dyson/dyson_8487823763_.jpg,dyson_8487823763_.jpg,
dyson,images/dyson/dyson_8487824149_.jpg,dyson_8487824149_.jpg,
dyson,images/dyson/dyson_8487825345_.jpg,dyson_8487825345_.jpg,
dyson,images/dyson/dyson_8487826079_.jpg,dyson_8487826079_.jpg,
dyson,images/dyson/dyson_portrait.jpg,dyson_portrait.jpg,
eames,images/eames/Charles and Ray Eames.jpg,Charles and Ray Eames.jpg,
eames,images/eames/eames_lounge_chair.jpg,eames_lounge_chair.jpg,
eames,images/eames/eames_molded_plastic_chair.jpg,eames_molded_plastic_chair.jpg,
earl,images/earl/earl_portrait.jpg,earl_portrait.jpg,
fukasawa,images/fukasawa/fukasawa_by_naoto_fukasawa_1.jpg,fukasawa_by_naoto_fukasawa_1.jpg,
fukasawa,images/fukasawa/fukasawa_cdma_1x_win_w42t_neon_mizuiro_close.jpg,fukasawa_cdma_1x_win_w42t_neon_mizuiro_close.jpg,
fukasawa,images/fukasawa/fukasawa_hiroshima_chair.jpg,fukasawa_hiroshima_chair.jpg,
fukasawa,images/fukasawa/fukasawa_portrait.jpg,fukasawa_portrait.jpg,
fukasawa,images/fukasawa/fukasawa_w55sa_infobar2_20101109.jpg,fukasawa_w55sa_infobar2_20101109.jpg,2010
fukasawa,images/fukasawa/fukasawa_w55sa_infobar2_20101109_b.jpg,fukasawa_w55sa_infobar2_20101109_b.jpg,2010
gandini,images/gandini/gandini_in_1976.jpg,gandini_in_1976.jpg,1976
gandini,images/gandini/gandini_miura.jpg,gandini_miura.jpg,
gandini,images/gandini/gandini_portrait.jpg,gandini_portrait.jpg,
gandini,images/gandini/gandini_renault_5_turbo.jpg,gandini_renault_5_turbo.jpg,
geddes,images/geddes/Battle_of_Midway.jpg,Battle_of_Midway.jpg,
geddes,images/geddes/geddes_belgeddescar.jpg,geddes_belgeddescar.jpg,
geddes,images/geddes/geddes_design_1_by_norman_bel_geddes_for_henry_hadley_s_cleopatra_s_night_1920.jpg,geddes_design_1_by_norman_bel_geddes_for_henry_hadley_s_cleopatra_s_night_1920.jpg,1920
geddes,images/geddes/geddes_design_2_by_norman_bel_geddes_for_henry_hadley_s_cleopatra_s_night_1920.jpg,geddes_design_2_by_norman_bel_geddes_for_henry_hadley_s_cleopatra_s_night_1920.jpg,1920
geddes,images/geddes/geddes_for_the_1956_emerson_model_838_transistor_radio_brownwood_texas_bulletin_newspaper_november_29_1955_16216197452_.jpg,geddes_for_the_1956_emerson_model_838_transistor_radio_brownwood_texas_bulletin_newspaper_november_29_1955_16216197452_.jpg,1956
geddes,images/geddes/geddes_gas_range_publicity_leaflet_extract_c._1932_33_philadelphia_gas_works.jpg,geddes_gas_range_publicity_leaflet_extract_c._1932_33_philadelphia_gas_works.jpg,1932
geddes,images/geddes/geddes_number_4_norman_bel_geddes_c.1929_32.jpg,geddes_number_4_norman_bel_geddes_c.1929_32.jpg,1929
giugiaro,images/giugiaro/giugiaro_.jpg,giugiaro_.jpg,
giugiaro,images/giugiaro/giugiaro_1970_giugiaro_porsche_tapiro.jpg,giugiaro_1970_giugiaro_porsche_tapiro.jpg,1970
giugiaro,images/giugiaro/giugiaro_1992_04_23_torino_auto_designers_dal_italia.jpg,giugiaro_1992_04_23_torino_auto_designers_dal_italia.jpg,1992
giugiaro,images/giugiaro/giugiaro_corvair_testudo_drawing_bertone_giugiaro.jpg,giugiaro_corvair_testudo_drawing_bertone_giugiaro.jpg,
giugiaro,images/giugiaro/giugiaro_portrait.jpg,giugiaro_portrait.jpg,
gropius,images/gropius/gropius_ascona_dokumentationsfotos_im_museum_xanti_schawinsky_walter_gropius_labw_staatsarchiv_freiburg_w_134_nr._123466.jpg,gropius_ascona_dokumentationsfotos_im_museum_xanti_schawinsky_walter_gropius_labw_staatsarchiv_freiburg_w_134_nr._123466.jpg,
gropius,images/gropius/gropius_fagus.jpg,gropius_fagus.jpg,
gropius,images/gropius/gropius_fagus_factory.jpg,gropius_fagus_factory.jpg,
gropius,images/gropius/gropius_gropius_house.jpg,gropius_gropius_house.jpg,
gropius,images/gropius/gropius_metlife_building.jpg,gropius_metlife_building.jpg,
gropius,images/gropius/gropius_photograph_of_bauhaus_masters_on_the_roof_of_the_studio_building_bauhaus_dessau.jpg,gropius_photograph_of_bauhaus_masters_on_the_roof_of_the_studio_building_bauhaus_dessau.jpg,
gropius,images/gropius/gropius_portrait.jpg,gropius_portrait.jpg,
gropius,images/gropius/gropius_schema_didattico.jpg,gropius_schema_didattico.jpg,
gropius,images/gropius/walter_gropius_fagus_factory.webp,walter_gropius_fagus_factory.webp,
guimard,images/guimard/guimard_iron1.jpg,guimard_iron1.jpg,
guimard,images/guimard/guimard_iron2.jpg,guimard_iron2.jpg,
guimard,images/guimard/guimard_iron3.jpg,guimard_iron3.jpg,
guimard,images/guimard/guimard_metro.jpg,guimard_metro.jpg,
guimard,images/guimard/guimard_metro1.jpg,guimard_metro1.jpg,
guimard,images/guimard/Hector Guimard.jpg,Hector Guimard.jpg,
ive,images/ive/ive_airpods.jpg,ive_airpods.jpg,
ive,images/ive/ive_ipad.jpg,ive_ipad.jpg,
ive,images/ive/ive_iphone.jpg,ive_iphone.jpg,
ive,images/ive/ive_ipod.jpg,ive_ipod.jpg,
ive,images/ive/ive_johnny_ive.jpg,ive_johnny_ive.jpg,
ive,images/ive/ive_lasseter.jpg,ive_lasseter.jpg,
ive,images/ive/ive_lasseter_cropped.jpg,ive_lasseter_cropped.jpg,
ive,images/ive/ive_mac_pro.jpg,ive_mac_pro.jpg,
ive,images/ive/ive_macbook.jpg,ive_macbook.jpg,
ive,images/ive/ive_minimal.jpg.jpeg,ive_minimal.jpg.jpeg,
ive,images/ive/ive_otrs_.jpg,ive_otrs_.jpg,
